Ouverture de la DataFrame...
On ne garde que les données du centre...
On sépare par la Seine
Clusterisation...
Sauvegarde sur la carte...
Terminé !
         46068305 function calls (46035909 primitive calls) in 57.801 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 _kmeans.py:863(_check_mkl_vcomp)
        9    0.007    0.001    0.510    0.057 _kmeans.py:895(_init_centroids)
      471    0.003    0.000    0.027    0.000 _methods.py:106(_clip)
        1    0.000    0.000    0.000    0.000 _methods.py:37(_amax)
      214    0.000    0.000    0.003    0.000 _methods.py:41(_amin)
     4986    0.004    0.000    0.055    0.000 _methods.py:45(_sum)
     1036    0.001    0.000    0.010    0.000 _methods.py:53(_any)
     1423    0.001    0.000    0.008    0.000 _methods.py:56(_all)
      942    0.009    0.000    0.019    0.000 _methods.py:72(_clip_dep_is_scalar_nan)
      942    0.001    0.000    0.001    0.000 _methods.py:82(_clip_dep_is_byte_swapped)
      471    0.004    0.000    0.004    0.000 _methods.py:87(_clip_dep_invoke_with_casting)
        1    0.000    0.000    0.001    0.001 _optional.py:61(import_optional_dependency)
        2    0.000    0.000    0.000    0.000 _parser.py:1062(_could_be_tzname)
        2    0.000    0.000    0.000    0.000 _parser.py:1276(parse)
        2    0.000    0.000    0.000    0.000 _parser.py:192(__iter__)
        6    0.000    0.000    0.000    0.000 _parser.py:195(__next__)
        2    0.000    0.000    0.000    0.000 _parser.py:205(split)
       12    0.000    0.000    0.000    0.000 _parser.py:209(isword)
        6    0.000    0.000    0.000    0.000 _parser.py:214(isnum)
        2    0.000    0.000    0.000    0.000 _parser.py:227(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:325(jump)
        2    0.000    0.000    0.000    0.000 _parser.py:328(weekday)
        2    0.000    0.000    0.000    0.000 _parser.py:335(month)
        2    0.000    0.000    0.000    0.000 _parser.py:348(ampm)
        2    0.000    0.000    0.000    0.000 _parser.py:401(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:578(parse)
        2    0.000    0.000    0.000    0.000 _parser.py:62(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:672(_parse)
        6    0.000    0.000    0.000    0.000 _parser.py:83(get_token)
        1    0.000    0.000    0.001    0.001 _strptime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        1    0.000    0.000    0.000    0.000 _strptime.py:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:152(__calc_timezone)
        1    0.000    0.000    0.000    0.000 _strptime.py:170(TimeRE)
        1    0.000    0.000    0.001    0.001 _strptime.py:173(__init__)
        5    0.000    0.000    0.000    0.000 _strptime.py:210(<genexpr>)
        6    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
       50    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
        6    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
        8    0.000    0.000    0.000    0.000 _strptime.py:26(_getlang)
        3    0.000    0.000    0.003    0.001 _strptime.py:261(compile)
        1    0.000    0.000    0.000    0.000 _strptime.py:30(LocaleTime)
        6    0.000    0.000    0.003    0.000 _strptime.py:309(_strptime)
        1    0.000    0.000    0.001    0.001 _strptime.py:49(__init__)
        6    0.000    0.000    0.003    0.000 _strptime.py:565(_strptime_datetime)
        1    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
