Ouverture de la DataFrame...    5.402 s
On ne garde que les données du centre...    0.965 s
On sépare par la Seine...    12.490 s
Clusterisation...    11.265 s
Sauvegarde sur la carte...    0.621 s
Terminé !
         15046718 function calls (15012641 primitive calls) in 30.981 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 _parser.py:195(__next__)
        2    0.000    0.000    0.000    0.000 _parser.py:205(split)
       12    0.000    0.000    0.000    0.000 _parser.py:209(isword)
        6    0.000    0.000    0.000    0.000 _parser.py:214(isnum)
        2    0.000    0.000    0.000    0.000 _parser.py:227(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:325(jump)
        2    0.000    0.000    0.000    0.000 _parser.py:328(weekday)
        2    0.000    0.000    0.000    0.000 _parser.py:335(month)
        2    0.000    0.000    0.000    0.000 _parser.py:348(ampm)
        2    0.000    0.000    0.000    0.000 _parser.py:401(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:578(parse)
        2    0.000    0.000    0.000    0.000 _parser.py:62(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:672(_parse)
        6    0.000    0.000    0.000    0.000 _parser.py:83(get_token)
        1    0.000    0.000    0.001    0.001 _strptime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        1    0.000    0.000    0.000    0.000 _strptime.py:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:152(__calc_timezone)
        1    0.000    0.000    0.000    0.000 _strptime.py:170(TimeRE)
        1    0.000    0.000    0.001    0.001 _strptime.py:173(__init__)
        5    0.000    0.000    0.000    0.000 _strptime.py:210(<genexpr>)
        6    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
       50    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
        6    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
        8    0.000    0.000    0.000    0.000 _strptime.py:26(_getlang)
        3    0.000    0.000    0.002    0.001 _strptime.py:261(compile)
        1    0.000    0.000    0.000    0.000 _strptime.py:30(LocaleTime)
        6    0.000    0.000    0.002    0.000 _strptime.py:309(_strptime)
        1    0.000    0.000    0.000    0.000 _strptime.py:49(__init__)
        6    0.000    0.000    0.002    0.000 _strptime.py:565(_strptime_datetime)
        1    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
        1    0.000    0.000    0.000    0.000 _strptime.py:83(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:84(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
        1    0.000    0.000    0.000    0.000 _strptime.py:90(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:91(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:95(__calc_am_pm)
     2396    0.007    0.000    0.007    0.000 _ufunc_config.py:132(geterr)
     2396    0.009    0.000    0.020    0.000 _ufunc_config.py:32(seterr)
     1194    0.001    0.000    0.001    0.000 _ufunc_config.py:429(__init__)
     1198    0.002    0.000    0.014    0.000 _ufunc_config.py:433(__enter__)
     1198    0.002    0.000    0.011    0.000 _ufunc_config.py:438(__exit__)
        4    0.000    0.000    0.000    0.000 _validators.py:112(_check_for_invalid_keys)
        4    0.000    0.000    0.000    0.000 _validators.py:125(validate_kwargs)
        7    0.000    0.000    0.000    0.000 _validators.py:208(validate_bool_kwarg)
        4    0.000    0.000    0.000    0.000 _validators.py:33(_check_for_default_values)
      168    0.000    0.000    0.000    0.000 _vectorized.py:146(to_shapely)
      172    0.001    0.000    3.826    0.022 _vectorized.py:222(_points_from_xy)
      172    0.351    0.002    3.826    0.022 _vectorized.py:231(<listcomp>)
      172    0.013    0.000    3.852    0.022 _vectorized.py:235(points_from_xy)
        4    0.000    0.000    0.000    0.000 _vectorized.py:92(from_shapely)
1553/1395    0.001    0.000    0.003    0.000 abc.py:100(__subclasscheck__)
     3808    0.002    0.000    0.010    0.000 abc.py:96(__instancecheck__)
      546    0.004    0.000    0.013    0.000 algorithms.py:1511(_get_take_nd_function)
      546    0.012    0.000    0.386    0.001 algorithms.py:1640(take_nd)
       32    0.000    0.000    0.001    0.000 algorithms.py:180(_reconstruct_data)
        8    0.000    0.000    0.004    0.000 algorithms.py:2015(safe_sort)
       32    0.000    0.000    0.000    0.000 algorithms.py:223(_ensure_arraylike)
       24    0.000    0.000    0.001    0.000 algorithms.py:247(_get_hashtable_algo)
        8    0.000    0.000    0.000    0.000 algorithms.py:265(_get_values_for_rank)
        8    0.000    0.000    0.001    0.000 algorithms.py:273(_get_data_algo)
       32    0.000    0.000    0.001    0.000 algorithms.py:282(_check_object_for_strings)
       24    0.000    0.000    0.002    0.000 algorithms.py:311(unique)
        8    0.000    0.000    0.009    0.001 algorithms.py:478(_factorize_array)
        8    0.002    0.000    0.017    0.002 algorithms.py:518(factorize)
       40    0.000    0.000    0.003    0.000 algorithms.py:71(_ensure_data)
      168    0.000    0.000    0.001    0.000 array.py:1008(__array__)
