;geometry;cluster;centroids
208;{'type': 'Point', 'coordinates': [2.308872, 48.827726]};1.0;POINT (2.002250676190476 48.86037997142857)
209;{'type': 'Point', 'coordinates': [2.306111, 48.871688]};0.0;POINT (2.322916576523031 48.8675703640416)
210;{'type': 'Point', 'coordinates': [2.299877, 49.00234]};3.0;POINT (2.518279042780748 48.80550006951871)
211;{'type': 'Point', 'coordinates': [2.361237, 48.866041]};3.0;POINT (2.518279042780748 48.80550006951871)
212;{'type': 'Point', 'coordinates': [2.382632, 48.955922]};0.0;POINT (2.322916576523031 48.8675703640416)
213;{'type': 'Point', 'coordinates': [2.18909, 48.883356]};2.0;POINT (2.8888956 48.49346291428571)
214;{'type': 'Point', 'coordinates': [2.247499, 48.911705]};0.0;POINT (2.322916576523031 48.8675703640416)
215;{'type': 'Point', 'coordinates': [2.428949, 48.631751]};0.0;POINT (2.322916576523031 48.8675703640416)
216;{'type': 'Point', 'coordinates': [2.177185, 48.884902]};0.0;POINT (2.322916576523031 48.8675703640416)
217;{'type': 'Point', 'coordinates': [2.34375, 48.889465]};0.0;POINT (2.322916576523031 48.8675703640416)
218;{'type': 'Point', 'coordinates': [2.362343, 48.877056]};0.0;POINT (2.322916576523031 48.8675703640416)
219;{'type': 'Point', 'coordinates': [2.194858, 48.932663]};0.0;POINT (2.322916576523031 48.8675703640416)
220;{'type': 'Point', 'coordinates': [2.2522539999999998, 48.83516]};1.0;POINT (2.002250676190476 48.86037997142857)
221;{'type': 'Point', 'coordinates': [2.400897, 48.547637]};0.0;POINT (2.322916576523031 48.8675703640416)
222;{'type': 'Point', 'coordinates': [2.046055, 48.706843]};0.0;POINT (2.322916576523031 48.8675703640416)
223;{'type': 'Point', 'coordinates': [2.384867, 48.9704]};0.0;POINT (2.322916576523031 48.8675703640416)
224;{'type': 'Point', 'coordinates': [2.397243, 48.757198]};1.0;POINT (2.002250676190476 48.86037997142857)
225;{'type': 'Point', 'coordinates': [2.51036, 48.822902]};1.0;POINT (2.002250676190476 48.86037997142857)
226;{'type': 'Point', 'coordinates': [2.32689, 48.878952]};0.0;POINT (2.322916576523031 48.8675703640416)
227;{'type': 'Point', 'coordinates': [2.745901, 48.447552]};3.0;POINT (2.518279042780748 48.80550006951871)
228;{'type': 'Point', 'coordinates': [2.387654, 48.930454]};0.0;POINT (2.322916576523031 48.8675703640416)
229;{'type': 'Point', 'coordinates': [2.39453, 48.86586]};0.0;POINT (2.322916576523031 48.8675703640416)
230;{'type': 'Point', 'coordinates': [2.288487, 48.775912]};0.0;POINT (2.322916576523031 48.8675703640416)
231;{'type': 'Point', 'coordinates': [2.295166, 48.835066]};1.0;POINT (2.002250676190476 48.86037997142857)
232;{'type': 'Point', 'coordinates': [2.306279, 48.880005]};0.0;POINT (2.322916576523031 48.8675703640416)
233;{'type': 'Point', 'coordinates': [2.358156, 48.891017]};0.0;POINT (2.322916576523031 48.8675703640416)
234;{'type': 'Point', 'coordinates': [2.150292, 48.900918]};0.0;POINT (2.322916576523031 48.8675703640416)
235;{'type': 'Point', 'coordinates': [2.338236, 48.911148]};0.0;POINT (2.322916576523031 48.8675703640416)
236;{'type': 'Point', 'coordinates': [2.3578989999999997, 48.91319]};0.0;POINT (2.322916576523031 48.8675703640416)
237;{'type': 'Point', 'coordinates': [2.365246, 48.880961]};0.0;POINT (2.322916576523031 48.8675703640416)
238;{'type': 'Point', 'coordinates': [2.116831, 48.745036]};3.0;POINT (2.518279042780748 48.80550006951871)
239;{'type': 'Point', 'coordinates': [2.106472, 48.695343]};3.0;POINT (2.518279042780748 48.80550006951871)
240;{'type': 'Point', 'coordinates': [2.319427, 48.771293]};0.0;POINT (2.322916576523031 48.8675703640416)
241;{'type': 'Point', 'coordinates': [2.500994, 48.897041]};2.0;POINT (2.8888956 48.49346291428571)
242;{'type': 'Point', 'coordinates': [2.351924, 48.926626]};1.0;POINT (2.002250676190476 48.86037997142857)
243;{'type': 'Point', 'coordinates': [2.275932, 48.775001]};0.0;POINT (2.322916576523031 48.8675703640416)
244;{'type': 'Point', 'coordinates': [2.290113, 48.871557]};2.0;POINT (2.8888956 48.49346291428571)
245;{'type': 'Point', 'coordinates': [2.105583, 48.513809]};1.0;POINT (2.002250676190476 48.86037997142857)
246;{'type': 'Point', 'coordinates': [2.36574, 48.870178]};0.0;POINT (2.322916576523031 48.8675703640416)
247;{'type': 'Point', 'coordinates': [2.368201, 48.878031]};0.0;POINT (2.322916576523031 48.8675703640416)
248;{'type': 'Point', 'coordinates': [2.265224, 48.897276]};3.0;POINT (2.518279042780748 48.80550006951871)
249;{'type': 'Point', 'coordinates': [2.313552, 48.852895]};0.0;POINT (2.322916576523031 48.8675703640416)
250;{'type': 'Point', 'coordinates': [2.429271, 48.882706999999996]};0.0;POINT (2.322916576523031 48.8675703640416)
251;{'type': 'Point', 'coordinates': [2.34526, 48.850046]};1.0;POINT (2.002250676190476 48.86037997142857)
252;{'type': 'Point', 'coordinates': [2.505998, 49.038797]};0.0;POINT (2.322916576523031 48.8675703640416)
253;{'type': 'Point', 'coordinates': [2.489775, 48.834955]};0.0;POINT (2.322916576523031 48.8675703640416)
254;{'type': 'Point', 'coordinates': [2.297237, 49.044593]};1.0;POINT (2.002250676190476 48.86037997142857)
255;{'type': 'Point', 'coordinates': [2.943078, 48.254721]};0.0;POINT (2.322916576523031 48.8675703640416)
256;{'type': 'Point', 'coordinates': [1.97275, 48.791603]};0.0;POINT (2.322916576523031 48.8675703640416)
257;{'type': 'Point', 'coordinates': [2.273328, 48.812505]};0.0;POINT (2.322916576523031 48.8675703640416)
258;{'type': 'Point', 'coordinates': [3.151677, 48.55827]};0.0;POINT (2.322916576523031 48.8675703640416)
259;{'type': 'Point', 'coordinates': [2.033813, 49.043573]};0.0;POINT (2.322916576523031 48.8675703640416)
